clip_id,your_guess,confidence,what_you_heard,lang,turn_id,pause_index,truth,pause_dur,correct
clip_001,hold,4,it felt as if it was incomplete person breathing,english,en__073,0,hold,0.8,True
clip_002,eot,4,"it told to do something, ended with rakhiyega",hindi,hi__078,3,eot,0.395,True
clip_003,hold,4,looked incomplete,english,en__037,3,eot,1.381,False
clip_004,eot,5,"sentence looked complete, as if the question ended",hindi,hi__026,0,eot,1.42,True
clip_005,eot,4,"statement looked complete, baat karke gaya tha",hindi,hi__036,1,hold,0.6,False
clip_006,eot,3,sentence completion,hindi,hi__011,1,hold,0.7,False
clip_007,eot,4,pitch dropped,hindi,hi__022,7,eot,1.354,True
clip_008,hold,5,"pitch was very high, cant be the end",hindi,hi__037,1,hold,0.6,True
clip_009,eot,1,"i mean sentence looked complete, but felt that speaker wanted to spewak more",hindi,hi__090,2,hold,0.6,False
clip_010,eot,5,pitch droppes,hindi,hi__015,0,eot,1.31,True
clip_011,hold,3,"pitc drops, voice was low",english,en__024,1,hold,1.3,True
clip_012,hold,4,person taking breath,hindi,hi__036,5,hold,0.8,True
clip_013,eot,5,"pitch dropped, proper ending",english,en__078,0,eot,1.315,True
clip_014,hold,1,idk,hindi,hi__087,0,hold,0.9,True
clip_015,eot,5,"pitch dropped, emphasis was there",hindi,hi__040,2,eot,1.682,True
clip_016,eot,3,pitch change,hindi,hi__037,2,eot,0.56,True
clip_017,hold,4,"something was pending,",hindi,hi__007,2,hold,0.6,True
clip_018,hold,3,incomplete,hindi,hi__000,1,hold,0.7,True
clip_019,hold,5,incomplete,hindi,hi__007,3,hold,0.6,True
clip_020,hold,1,not clear,english,en__064,0,hold,0.6,True
clip_021,eot,5,"pitych dropped, rahega used",hindi,hi__093,0,eot,0.242,True
clip_022,hold,3,incomplete,english,en__038,2,hold,0.9,True
clip_023,hold,3,"pitch same, breathing voice",english,en__015,1,eot,1.351,False
clip_024,hold,2,incomplete not clear,hindi,hi__013,0,eot,0.633,False
clip_025,eot,3,pitch change was like an end,english,en__091,7,eot,1.337,True
clip_026,eot,4,pause was with low pitch,hindi,hi__086,1,eot,1.267,True
clip_027,eot,5,completely meaningful sentence,english,en__049,3,hold,1.1,False
clip_028,hold,5,abrupt stopping,hindi,hi__036,4,hold,0.6,True
clip_029,hold,1,"cant say, depends on context",english,en__030,3,hold,1.0,True
clip_030,hold,2,not clear,english,en__049,4,eot,1.396,False
clip_031,eot,4,meaningful question,hindi,hi__071,2,eot,1.179,True
clip_032,eot,3,meaningfull sentence,hindi,hi__014,4,hold,0.7,False
clip_033,hold,3,looked like an end but felt something was off,hindi,hi__057,0,hold,0.7,True
clip_034,eot,5,complete statement low pitch ending,hindi,hi__091,0,eot,0.215,True
clip_035,eot,4,end,english,en__026,0,eot,1.251,True
clip_036,hold,5,"ended with haan, something will be said, like this cant be the end",hindi,hi__049,0,eot,1.705,False
